DTCR Score: 0.862

drug	#_of_rounds	DTCS_score	normalized_DTCS_score
M3814	124	52.03349493168799	422.5119788453062
M3814	125	48.477890406934065	393.6404701043044
M3814	126	46.02614955193185	373.73233436168636
M3814	127	52.80593506684296	428.7841927427647
M3814	128	51.39150874100192	417.2990509769355
M3814	129	44.54605553107099	361.71397091229613
M3814	130	57.525047744968404	467.1033876891434
M3814	131	53.05655942412226	430.8192625238724
M3814	132	47.777141178198924	387.95038636697484
M3814	133	47.06037902159546	382.1302776553545
M3814	134	49.319817834582054	400.4769208168061
M3814	135	48.29513735860149	392.15651535184367
M3814	136	48.332745702952856	392.46189510797683
M3814	137	50.74731893638903	412.0682297634787
M3814	138	50.12399001028355	407.00679888350226
M3814	139	49.7407080946085	403.8945497282209
M3814	140	50.143528720434865	407.16545320993066
M3814	141	48.71294255913032	395.549093580138
M3814	142	45.85044806816513	372.3056383135007
M3814	143	46.818128397238155	380.16320258557363
M3814	144	49.80417217570151	404.4098780666961
M3814	145	51.190539150874116	415.66717790509756
M3814	146	47.04142794182461	381.97639488761547
M3814	147	53.78198912883796	436.70975172616426
M3814	148	49.375789628323794	400.93141178198897
M3814	149	52.73409725282797	428.20086969296295
M3814	150	46.3013074775966	375.9666167180841
M3814	151	49.57675921845161	402.5632848538268
M3814	152	47.454972822094916	385.33437931541056
M3814	153	50.03026296459529	406.24573527251357
M3814	154	53.8527985896871	437.28472454825896
M3814	155	51.62656089319819	419.2076744527693
M3814	156	50.12252093433233	406.99486998677816
M3814	157	45.13794623182018	366.52012340237997
M3814	158	45.92566475686795	372.91639782576766
M3814	159	53.487439400617035	434.3180079330098
M3814	160	52.15043337740563	423.46151902453374
M3814	161	47.75936535918907	387.80604671661507
M3814	162	50.197590715439986	407.6044366093727
M3814	163	54.66887028059352	443.9112266784192
M3814	164	49.12589980902016	398.9023064492434
M3814	165	45.42779491699722	368.8736947260173
M3814	166	45.12604671661526	366.4234993389157
M3814	167	54.03378874687822	438.75436462465115
M3814	168	48.20332011164979	391.4109593065959
M3814	169	52.136917878654366	423.35177317467287
M3814	170	52.23710885852799	424.165323931247
M3814	171	49.45144703981198	401.545749963273
M3814	172	49.42897017775818	401.36323784339663
M3814	173	48.8457470251212	396.6274658439841
M3814	174	50.99206698986339	414.05558395769043
M3814	175	52.48420743352435	426.17176436021725
M3814	176	50.891876009989716	413.24203320111644
M3814	177	52.281034229469675	424.5219979432937
M3814	178	43.42720728661673	352.62892316732774
M3814	179	50.15043337740563	407.22151902453356
M3814	180	51.46026149551934	417.85732334361677
M3814	181	48.09651828999558	390.5437285147643
M3814	182	46.74511532246217	379.5703364183929
M3814	183	45.9512266784193	373.1239606287644
M3814	184	51.50815337152931	418.24620537681807
M3814	185	52.7517261642427	428.3440164536506
M3814	186	50.8927574555605	413.2491905391509
M3814	187	50.38386954605553	409.11702071397065
M3814	188	51.75716174526223	420.26815337152914
M3814	189	50.00852064051715	406.06918760099876
M3814	190	50.23402379903043	407.9002732481266
M3814	191	49.59673865138828	402.72551784927253
M3814	192	46.889672396062906	380.7441398560304
M3814	193	52.06772440135156	422.7899221389744
M3814	194	49.05641251652711	398.3380696342
M3814	195	52.06963420008817	422.8054297047156
M3814	196	54.767445276920824	444.7116556485968
M3814	197	49.89393271632145	405.13873365653006
M3814	198	47.30395181430883	384.10808873218747
M3814	199	49.84383722638464	404.7319582782429
