DTCR Score: 0.294

drug	#_of_rounds	DTCS_score	normalized_DTCS_score
M3814	61	6.720728661671808	54.572316732775086
M3814	62	7.574849419714999	61.507777288085784
M3814	63	7.92125752901425	64.32061113559573
M3814	64	7.803290730130747	63.36272072866166
M3814	65	7.3622741295725	59.78166593212868
M3814	66	7.620684589393272	61.87995886587336
M3814	67	7.174085500220361	58.25357426178933
M3814	68	5.729690024974291	46.52508300279124
M3814	69	5.8630821213456725	47.60822682532687
M3814	70	4.91626267078008	39.92005288673425
M3814	71	7.530189510797708	61.1451388276774
M3814	72	6.4724548259144985	52.55633318642573
M3814	73	6.535625091817247	53.06927574555605
M3814	74	6.603055677978551	53.61681210518582
M3814	75	5.90024974291171	47.91002791244306
M3814	76	6.244013515498751	50.70138974584986
M3814	77	5.262523872484207	42.73169384457175
M3814	78	8.158513295137357	66.24712795651534
M3814	79	6.690612604671662	54.32777434993389
M3814	80	7.316145144703982	59.407098574996326
M3814	81	7.330101366240634	59.52042309387396
M3814	82	4.675187307183782	37.962520934332304
M3814	83	5.735713236374321	46.57399147935949
M3814	84	6.530189510797708	53.02513882767738
M3814	85	6.6748934919935365	54.200135154987514
M3814	86	5.980755105038931	48.563731452916116
M3814	87	7.747759659174379	62.91180843249595
M3814	88	4.240047010430439	34.429181724695155
M3814	89	7.600264433671222	61.71414720141031
M3814	90	5.078448655795505	41.2370030850595
M3814	91	6.52255031585133	52.96310856471279
M3814	92	5.8078448655795505	47.15970030850594
M3814	93	8.019832525341558	65.12104010577346
M3814	94	5.977229322755987	48.5351021007786
M3814	95	5.416776847363009	43.98422800058763
M3814	96	5.963713824004699	48.42535625091817
M3814	97	7.600264433671221	61.714147201410306
M3814	98	5.46701924489496	44.39219626854708
M3814	99	6.345526663728514	51.52567650947553
M3814	100	6.17570148376671	50.146696048185674
M3814	101	5.4154546790069045	43.973491993536065
M3814	102	5.282356397825767	42.89273395034524
M3814	103	7.884236815043338	64.0200029381519
M3814	104	4.918466284706919	39.93794623182018
M3814	105	5.56280299691494	45.16996033494931
M3814	106	4.113265755839577	33.39971793741736
M3814	107	5.891141472014102	47.836068752754514
M3814	108	8.884971353018953	72.14596738651389
M3814	109	7.053180549434405	57.271826061407374
M3814	110	6.709269869252241	54.47927133832819
M3814	111	6.998824739239018	56.83045688262083
M3814	112	6.809167033935654	55.29043631555751
M3814	113	7.402526810636109	60.108517702365205
M3814	114	5.16468341413251	41.93722932275598
M3814	115	2.9594535037461434	24.03076245041868
M3814	116	7.751873071837814	62.94520934332305
M3814	117	7.932716321433817	64.4136565300426
M3814	118	6.037902159541648	49.02776553547818
M3814	119	6.12340237990304	49.722027324812686
M3814	120	6.558395769061259	53.254173644777424
M3814	121	6.152343176142206	49.957026590274715
M3814	122	6.769648890847655	54.96954899368296
M3814	123	6.054796532980754	49.16494784780372
M3814	124	6.557514323490525	53.247016306743056
M3814	125	5.449390333480241	44.24904950785955
M3814	126	7.146613779932422	58.03050389305127
M3814	127	6.887909504921404	55.9298251799618
M3814	128	6.654032613486116	54.03074482150726
M3814	129	5.697957984427794	46.267418833553684
M3814	130	6.098574996327311	49.52042897017776
M3814	131	6.121933303951813	49.71009842808873
M3814	132	7.179961804025268	58.30128984868517
M3814	133	6.6650506831203185	54.12021154693697
M3814	134	7.064786249449098	57.36606434552666
M3814	135	6.267959453503746	50.895830762450416
M3814	136	7.228147495225503	58.69255766123108
M3814	137	6.388570589099456	51.87519318348758
M3814	138	6.602468047598061	53.61204054649624
M3814	139	7.180255619215514	58.30367562802996
M3814	140	7.686646099603349	62.415566328779185
M3814	141	5.548259144997797	45.0518642573821
M3814	142	7.334508594094315	59.55620978404584
M3814	143	6.33318642573821	51.42547377699426
