Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	RASGRP1	2	12	1.4275078586358739e-05	8.12
PRKDC	CYP2J2	3	5385	8.437600818789821e-06	8.12
PRKDC	OR4X2	3	1212	9.157559897045505e-07	8.12
PRKDC	BBC3	2	37	9.453279511928887e-05	8.12
PRKDC	AVPR2	3	4492	3.3310347327507195e-06	8.12
PRKDC	ADCYAP1R1	2	2	1.7496282040066485e-06	8.12
PRKDC	LYPLA2	3	115	4.7506577580499767e-07	8.12
PRKDC	DHCR24	4	2467	1.9898880606571405e-07	8.12
PRKDC	STK3	2	22	3.0864641044569554e-05	8.12
PRKDC	OR51V1	3	1212	9.157559897045505e-07	8.12
PRKDC	ALPL	3	7	4.179099150331014e-07	8.12
PRKDC	DCTN5	3	600	5.0216188808407795e-06	8.12
PRKDC	HLA-C	2	43	6.403452505075875e-05	8.12
PRKDC	DTX3L	2	4	9.102744811112666e-05	8.12
PRKDC	VTA1	2	3	6.2833217729429554e-06	8.12
PRKDC	OR11H4	3	1212	9.157559897045505e-07	8.12
PRKDC	NUP50	3	202	7.219685907510985e-07	8.12
PRKDC	MRPL14	3	28	7.271490738540369e-08	8.12
PRKDC	NT5C1A	3	683	2.3517581803017377e-06	8.12
PRKDC	IL2RA	2	30	2.344775257067457e-05	8.12
PRKDC	OR2T6	3	1212	9.157559897045505e-07	8.12
PRKDC	PRDM7	3	32	1.1034845203987997e-06	8.12
PRKDC	RBL1	1	1	0.003194888178913738	8.12
PRKDC	SMURF1	2	36	7.830612432402521e-05	8.12
PRKDC	OR5H2	3	1212	9.157559897045505e-07	8.12
PRKDC	CPSF1	3	989	6.694206660119378e-06	8.12
PRKDC	CLDN9	2	3	6.911071494315986e-06	8.12
PRKDC	PPIP5K1	3	1703	6.792524482383489e-06	8.12
PRKDC	CADM3	3	703	4.317180558209744e-06	8.12
PRKDC	CD244	3	3391	1.2954479479384307e-05	8.12
PRKDC	PTGES2	3	104	6.485015604470007e-07	8.12
PRKDC	LIFR	2	14	1.51622503878105e-05	8.12
PRKDC	NUS1	3	3	3.536920549191597e-07	8.12
PRKDC	CAMK1G	2	2	2.895443646154739e-06	8.12
PRKDC	CCL28	2	4	4.165524601534595e-06	8.12
PRKDC	CCL7	2	5	6.430911671901099e-06	8.12
PRKDC	CXCR3	2	4	4.418287016676258e-06	8.12
PRKDC	SLC2A4	2	28	7.63300507463563e-05	8.12
PRKDC	RASGRP2	2	11	1.086661231250107e-05	8.12
PRKDC	MINPP1	3	932	4.141585618512844e-06	8.12
PRKDC	CYB5R4	3	32	6.025329829802663e-07	8.12
PRKDC	TAS2R10	3	600	2.7663543052077107e-06	8.12
PRKDC	PIGF	4	39	1.9210974625559892e-08	8.12
PRKDC	OR51D1	3	1212	9.157559897045505e-07	8.12
PRKDC	CLCNKB	3	24	7.632276822358986e-07	8.12
PRKDC	INPP4B	3	1730	6.258875042095242e-06	8.12
PRKDC	PCCB	3	77	9.91564503267913e-07	8.12
PRKDC	QRSL1	4	14	1.532115832729632e-09	8.12
PRKDC	MAPK13	2	88	7.24051430476981e-05	8.12
PRKDC	MT-ND3	3	2619	4.044616559694588e-06	8.12
PRKDC	OR4L1	3	1212	9.157559897045505e-07	8.12
PRKDC	NKD2	2	13	4.297793146627028e-05	8.12
PRKDC	WIPF3	2	3	6.2833217729429554e-06	8.12
PRKDC	ATP1A1	2	10	1.1096411783673227e-05	8.12
PRKDC	TYROBP	2	2	4.445112508578441e-06	8.12
