Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	KRIT1	3	6315	1.1792947070758592e-05	8.12
PRKDC	TAC1	3	683	8.595698791264664e-07	8.12
PRKDC	LRP2	2	4	1.60798835135985e-05	8.12
PRKDC	CREB5	2	25	1.6753010656181013e-05	8.12
PRKDC	KCNE3	3	472	3.2157854391728506e-06	8.12
PRKDC	PIGG	4	39	1.9210974625559892e-08	8.12
PRKDC	RIMKLA	4	24672	8.779098137720092e-07	8.12
PRKDC	SNX6	2	3	6.2833217729429554e-06	8.12
PRKDC	SRSF9	3	116	5.984462880709621e-07	8.12
PRKDC	HTR3E	3	2408	5.004149920685377e-06	8.12
PRKDC	OR4B1	3	1212	9.157559897045505e-07	8.12
PRKDC	GHRL	2	2	2.0915513873260352e-06	8.12
PRKDC	GNAT3	3	1715	5.092183750223804e-06	8.12
PRKDC	GSTO1	3	60	6.635943204927861e-07	8.12
PRKDC	PTCRA	2	4	9.102744811112666e-05	8.12
PRKDC	OR52N5	3	1212	9.157559897045505e-07	8.12
PRKDC	FCGR2C	2	2	3.718673888499474e-06	8.12
PRKDC	PLD2	2	7	4.2487777871982445e-06	8.12
PRKDC	EEF2	2	4	1.351402122710143e-05	8.12
PRKDC	OR5K2	3	1212	9.157559897045505e-07	8.12
PRKDC	IVD	3	7	9.391762997870303e-08	8.12
PRKDC	OR4F3	3	1212	9.157559897045505e-07	8.12
PRKDC	FKBP5	3	4157	1.1914266791314406e-05	8.12
PRKDC	PTGER4	3	5113	4.689121728337362e-06	8.12
PRKDC	ALDH5A1	4	26774	6.109081481443714e-07	8.12
PRKDC	RDH11	3	7	6.646478429262061e-08	8.12
PRKDC	ULBP1	3	3391	1.2954479479384307e-05	8.12
PRKDC	EDN3	2	2	1.7649758198312683e-06	8.12
PRKDC	IFNG	2	25	2.1833767693121335e-05	8.12
PRKDC	SPDYE1	2	47	0.0004374524071538693	8.12
PRKDC	VDAC3	2	44	7.17852356036823e-05	8.12
PRKDC	LIPC	3	2	4.4073678339969986e-08	8.12
PRKDC	FAT4	3	462	2.5352980467266733e-05	8.12
PRKDC	PAK4	2	9	7.969419415047334e-06	8.12
PRKDC	MAP2K5	2	15	2.0354319650879196e-05	8.12
PRKDC	ATP5F1D	3	26	1.5559707400330511e-07	8.12
PRKDC	DNAJA2	2	3	1.2398742241998359e-05	8.12
PRKDC	DDX46	3	116	5.984462880709621e-07	8.12
PRKDC	OR1C1	3	1212	9.157559897045505e-07	8.12
PRKDC	SELENOI	3	115	4.184065548374292e-07	8.12
PRKDC	CERS6	2	1	3.113712791132146e-06	8.12
PRKDC	NRG3	2	5	3.673804176057694e-05	8.12
PRKDC	ALPP	3	7	4.179099150331014e-07	8.12
PRKDC	CCL3L1	2	4	3.931607453284272e-06	8.12
PRKDC	ATXN3L	2	3	1.2398742241998359e-05	8.12
PRKDC	SIRT4	3	61	2.195243584844022e-06	8.12
PRKDC	IFNGR2	2	15	1.0855764006323874e-05	8.12
PRKDC	RPP14	3	202	7.219685907510985e-07	8.12
PRKDC	SLC17A7	3	3305	5.103519860472915e-06	8.12
PRKDC	SLC4A1	3	24	7.632276822358986e-07	8.12
PRKDC	ADH1B	3	423	1.6338060879595967e-06	8.12
PRKDC	ZFYVE16	2	18	4.7549285619687076e-05	8.12
PRKDC	WNT11	2	24	3.0089340204509233e-05	8.12
PRKDC	SCARB2	3	89	7.67390745164879e-07	8.12
PRKDC	PYGM	2	3	3.655504226497755e-06	8.12
PRKDC	WNT16	2	24	3.0089340204509233e-05	8.12
PRKDC	SMPD1	2	1	1.079009383065595e-06	8.12
PRKDC	SORT1	2	4	9.46794760088344e-06	8.12
PRKDC	NCF2	2	2	2.754176338168198e-06	8.12
PRKDC	HTR7	2	1	1.2394000312328809e-06	8.12
PRKDC	VSIG4	3	153	1.9458038435476154e-06	8.12
PRKDC	FCER1A	2	1	1.7648574524635645e-06	8.12
PRKDC	ALG6	3	39	1.3255572491636333e-06	8.12
PRKDC	APAF1	2	23	0.00012257458971051533	8.12
PRKDC	AP4M1	3	89	7.67390745164879e-07	8.12
PRKDC	PRKDC	0	1	1	8.12
PRKDC	UBE2Q1	2	19	0.00018079491285784524	8.12
PRKDC	HSP90B1	2	25	2.3626015371428824e-05	8.12
PRKDC	KCNJ11	3	1777	7.6135579987723515e-06	8.12
PRKDC	SEM1	2	3	6.966515557222938e-05	8.12
PRKDC	IQSEC1	2	3	6.2833217729429554e-06	8.12
PRKDC	NFATC1	2	51	5.24951304744251e-05	8.12
PRKDC	SEC23B	2	3	1.2398742241998359e-05	8.12
PRKDC	RPP25L	3	262	6.658538529831284e-07	8.12
PRKDC	CHRM1	2	23	1.4720941435889349e-05	8.12
PRKDC	PLA2G2E	2	1	1.6242784143144408e-06	8.12
PRKDC	HTR3D	3	2408	5.004149920685377e-06	8.12
PRKDC	UNC5A	2	2	6.883342520474489e-06	8.12
PRKDC	TAC3	3	683	8.595698791264664e-07	8.12
PRKDC	POLR2E	3	761	3.667893142042712e-06	8.12
PRKDC	KRT15	3	4157	1.1914266791314406e-05	8.12
PRKDC	CYP27B1	4	2467	1.9898880606571405e-07	8.12
PRKDC	PTGIR	3	5333	3.981780102271705e-06	8.12
PRKDC	CELA3A	3	1608	4.2745289097416706e-06	8.12
PRKDC	FADD	2	8	1.1143496901987888e-05	8.12
PRKDC	OR2J1	3	1212	9.157559897045505e-07	8.12
PRKDC	NECTIN1	2	4	1.044225105518381e-05	8.12
PRKDC	MSI1	3	989	6.694206660119378e-06	8.12
PRKDC	PAFAH1B1	3	111	8.874798014608353e-07	8.12
PRKDC	GBP3	2	1	3.361367135241245e-06	8.12
PRKDC	OR2L5	3	1212	9.157559897045505e-07	8.12
PRKDC	MT1M	3	170	2.32681970335654e-06	8.12
PRKDC	FBXW11	2	84	0.00017019256418636784	8.12
PRKDC	STATH	3	1884	7.947509148570654e-06	8.12
PRKDC	NCKAP1L	3	4144	8.15352279451132e-06	8.12
PRKDC	SLC6A19	3	540	2.7448308284384103e-06	8.12
PRKDC	PI4K2B	3	1730	6.258875042095242e-06	8.12
PRKDC	AGPS	3	184	1.0265665831985043e-06	8.12
PRKDC	CTNNA1	2	19	3.604448018536139e-05	8.12
PRKDC	MECR	3	42	1.0234075697544021e-06	8.12
PRKDC	OR9G1	3	1212	9.157559897045505e-07	8.12
PRKDC	RPL30	3	28	7.271490738540369e-08	8.12
PRKDC	SIRPA	2	2	7.96415991120304e-06	8.12
PRKDC	TECR	3	31	9.990564144146325e-07	8.12
PRKDC	CD226	3	703	4.317180558209744e-06	8.12
PRKDC	PPIE	3	116	5.984462880709621e-07	8.12
PRKDC	EPOR	2	27	3.0581186960927945e-05	8.12
PRKDC	CMAS	3	32	6.025329829802663e-07	8.12
PRKDC	THBS2	2	21	2.322842769374454e-05	8.12
PRKDC	NXF5	3	1251	2.459521773017167e-06	8.12
PRKDC	NCF1	2	3	2.4025821694551867e-06	8.12
PRKDC	SGMS1	2	1	3.113712791132146e-06	8.12
PRKDC	OR11G2	3	1212	9.157559897045505e-07	8.12
PRKDC	ARHGEF4	3	4144	8.15352279451132e-06	8.12
PRKDC	OR5I1	3	1212	9.157559897045505e-07	8.12
PRKDC	OR5D18	3	1212	9.157559897045505e-07	8.12
PRKDC	MYH7B	2	3	1.4111828620130248e-05	8.12
PRKDC	OR2F1	3	1212	9.157559897045505e-07	8.12
PRKDC	NRXN2	3	703	4.317180558209744e-06	8.12
PRKDC	OR1L1	3	1212	9.157559897045505e-07	8.12
PRKDC	RBCK1	2	1	2.0964624292968047e-06	8.12
PRKDC	CA12	4	13295	9.811208283342087e-07	8.12
PRKDC	PKN2	2	21	2.744326336398044e-05	8.12
PRKDC	CTNND2	2	13	4.297793146627028e-05	8.12
PRKDC	SNX1	2	3	6.2833217729429554e-06	8.12
PRKDC	COL4A6	2	21	2.5586200429575747e-05	8.12
PRKDC	SLC27A4	3	272	1.9465989283190066e-06	8.12
PRKDC	ATP6AP2	3	6	1.2485523137447022e-06	8.12
PRKDC	UGCG	3	32	8.284648773307131e-07	8.12
PRKDC	ABCD3	3	83	8.052294942973012e-07	8.12
PRKDC	CA9	4	13295	9.811208283342087e-07	8.12
PRKDC	ITPKA	3	4036	6.701194158203001e-06	8.12
PRKDC	IL15RA	2	10	1.292787051043143e-05	8.12
PRKDC	OR4C12	3	1212	9.157559897045505e-07	8.12
PRKDC	UQCRFS1	3	475	1.4426224498879308e-06	8.12
PRKDC	RNA5S12	3	88	2.2764102017475212e-07	8.12
PRKDC	MEGF8	2	4	3.952971363759631e-05	8.12
PRKDC	NUDT7	3	73	1.116510679018179e-06	8.12
PRKDC	ATP5MF	3	26	1.5559707400330511e-07	8.12
PRKDC	NLRP6	2	1	3.361367135241245e-06	8.12
PRKDC	GBA2	3	32	6.657307049978943e-07	8.12
PRKDC	RPS19	3	28	7.271490738540369e-08	8.12
PRKDC	PARD6G	2	21	1.593031099621897e-05	8.12
PRKDC	ABHD6	3	2593	6.318601333578599e-06	8.12
PRKDC	TPO	3	1589	5.557083646700873e-06	8.12
PRKDC	CCL5	2	5	3.7844046376231265e-06	8.12
PRKDC	PARVG	2	4	8.952682332981317e-06	8.12
PRKDC	FPR3	3	683	8.595698791264664e-07	8.12
PRKDC	RPS11	3	28	7.271490738540369e-08	8.12
PRKDC	GRK5	2	4	4.54855168904883e-06	8.12
PRKDC	GAD2	3	1594	3.5334389783302493e-06	8.12
PRKDC	WNT5A	2	25	2.5027051685931318e-05	8.12
PRKDC	UGT1A5	3	69	4.948996336918375e-07	8.12
PRKDC	STIM2	3	3439	8.603808990429781e-06	8.12
PRKDC	PPP3CC	2	84	7.872606082181073e-05	8.12
PRKDC	TARS2	4	14	1.532115832729632e-09	8.12
PRKDC	CCNB2	1	1	0.002352941176470588	8.12
PRKDC	LIPA	3	89	6.632448583210737e-07	8.12
PRKDC	HSPG2	3	1405	1.0720637600660507e-05	8.12
PRKDC	CHRNA9	3	683	8.595698791264664e-07	8.12
PRKDC	TLN2	2	4	4.441995837847508e-06	8.12
PRKDC	ADRA2C	3	5236	5.034042796761126e-06	8.12
PRKDC	SEC61A2	2	3	6.295336618228268e-06	8.12
PRKDC	OR4D2	3	1212	9.157559897045505e-07	8.12
PRKDC	ALDH2	3	526	1.3780561062452876e-06	8.12
PRKDC	PIGZ	4	39	1.9210974625559892e-08	8.12
PRKDC	CASP3	2	30	3.90452314916447e-05	8.12
PRKDC	KRT28	3	4157	1.1914266791314406e-05	8.12
PRKDC	ALDH1B1	3	526	1.3780561062452876e-06	8.12
PRKDC	PIGH	4	39	1.9210974625559892e-08	8.12
PRKDC	TP53BP1	2	1	3.361367135241245e-06	8.12
PRKDC	DKK2	2	13	4.297793146627028e-05	8.12
PRKDC	MAPK8IP3	2	9	1.950193762815711e-05	8.12
PRKDC	PRL	2	26	1.677969629844462e-05	8.12
PRKDC	FHL2	2	2	7.96415991120304e-06	8.12
PRKDC	HOMER1	2	25	8.925153808385357e-05	8.12
PRKDC	EGR1	2	4	1.0905169678805431e-05	8.12
PRKDC	CA7	4	13295	9.811208283342087e-07	8.12
PRKDC	PPP4R3B	2	2	9.673425166382914e-06	8.12
PRKDC	XPOT	3	202	7.219685907510985e-07	8.12
PRKDC	CTSH	2	5	1.46441471937037e-05	8.12
PRKDC	NEDD4L	2	25	5.3405379220711156e-05	8.12
PRKDC	GABRB3	3	3956	2.8341097254654515e-06	8.12
PRKDC	DPYD	3	53	5.558087122287658e-07	8.12
PRKDC	STX2	3	85	5.064960780441282e-07	8.12
PRKDC	ARHGEF12	2	2	2.445578779729459e-06	8.12
PRKDC	POLR3A	3	761	3.667893142042712e-06	8.12
PRKDC	ITCH	2	21	5.236778709912236e-05	8.12
PRKDC	TAZ	3	115	4.7506577580499767e-07	8.12
PRKDC	ENPEP	3	6	1.2485523137447022e-06	8.12
PRKDC	SAV1	2	17	6.229969821829088e-05	8.12
PRKDC	OR52Z1	3	1212	9.157559897045505e-07	8.12
PRKDC	EPHA7	2	2	6.883342520474489e-06	8.12
PRKDC	OPRD1	2	1	7.729074304228732e-07	8.12
PRKDC	NFS1	3	4	6.042426172381643e-07	8.12
PRKDC	WDR61	3	50	7.018458454397713e-07	8.12
PRKDC	NTNG2	2	2	3.889634821093521e-06	8.12
PRKDC	CRHR1	3	683	8.595698791264664e-07	8.12
PRKDC	TRPC3	2	2	6.883342520474489e-06	8.12
PRKDC	KRT34	3	4157	1.1914266791314406e-05	8.12
PRKDC	SLC25A31	2	43	8.899515958784871e-05	8.12
PRKDC	ENGASE	4	1367	3.3703040068341574e-07	8.12
PRKDC	GCGR	2	2	2.328787540055146e-06	8.12
PRKDC	POM121L2	3	202	7.219685907510985e-07	8.12
PRKDC	SEC11A	3	21	1.2921684689893983e-06	8.12
PRKDC	HNRNPA3	3	116	5.984462880709621e-07	8.12
PRKDC	KRT20	3	4157	1.1914266791314406e-05	8.12
PRKDC	PIP4P1	3	1703	6.792524482383489e-06	8.12
PRKDC	EGLN3	2	5	2.816885142192806e-05	8.12
PRKDC	P4HB	2	3	1.2398742241998359e-05	8.12
PRKDC	PNP	3	683	2.3517581803017377e-06	8.12
PRKDC	SGSH	3	89	7.369387314678598e-07	8.12
PRKDC	SMYD3	3	32	1.1034845203987997e-06	8.12
PRKDC	KCNMB3	3	5410	9.401363991960108e-06	8.12
PRKDC	GRM8	3	5751	4.351681210101571e-06	8.12
PRKDC	DAPP1	2	1	4.62000462000462e-06	8.12
PRKDC	AMPD3	3	622	2.67779324866611e-06	8.12
PRKDC	ITGAV	2	25	2.1201229363765105e-05	8.12
PRKDC	DGLUCY	4	11310	4.484937335339492e-06	8.12
PRKDC	TAS2R8	3	600	2.7663543052077107e-06	8.12
PRKDC	SOCS2	2	8	1.2570861124755194e-05	8.12
PRKDC	SLC12A7	3	24	7.632276822358986e-07	8.12
PRKDC	BMPR1A	2	27	3.968526548608827e-05	8.12
PRKDC	POLE2	2	12	0.0005506011432952535	8.12
PRKDC	MAPK9	2	61	3.4201375955237495e-05	8.12
PRKDC	CLN5	3	89	7.67390745164879e-07	8.12
PRKDC	OR2A14	3	1212	9.157559897045505e-07	8.12
PRKDC	UNC13C	3	85	6.93099896270912e-07	8.12
PRKDC	CALY	2	1	2.707033957033957e-06	8.12
PRKDC	MOCS1	3	3	1.0591644505813594e-07	8.12
PRKDC	CD3E	2	7	3.100431704083799e-05	8.12
PRKDC	MYO10	3	1728	6.246809464204321e-06	8.12
PRKDC	PFAS	3	622	2.67779324866611e-06	8.12
PRKDC	MNAT1	2	4	8.994228071796206e-05	8.12
PRKDC	GHR	2	26	1.7192017895521786e-05	8.12
PRKDC	PPIL2	2	19	0.00018079491285784524	8.12
PRKDC	PYCR3	3	44	4.638602315525878e-07	8.12
PRKDC	ATP6V0D2	3	1117	1.90991843082238e-06	8.12
PRKDC	CACNG4	2	11	1.3156377012369304e-05	8.12
PRKDC	MYD88	2	11	1.3447392694773663e-05	8.12
PRKDC	NBN	2	43	0.0002518471268748914	8.12
PRKDC	DEPTOR	2	2	9.668404363894354e-06	8.12
PRKDC	CCR3	2	4	4.418287016676258e-06	8.12
PRKDC	PDX1	3	1777	7.6135579987723515e-06	8.12
PRKDC	MRPL15	3	28	7.271490738540369e-08	8.12
PRKDC	PCGF3	2	5	1.8127135351923274e-05	8.12
PRKDC	LHPP	3	26	1.5559707400330511e-07	8.12
PRKDC	PRPF40A	3	116	5.984462880709621e-07	8.12
PRKDC	KIR2DL5A	2	43	0.00015863098251210687	8.12
PRKDC	CDKN1B	1	1	0.0016666666666666668	8.12
PRKDC	GABRP	3	3336	2.6448576545206286e-06	8.12
PRKDC	PPT2	3	110	7.606298090974761e-07	8.12
PRKDC	HYAL4	4	1556	3.141865285771488e-07	8.12
PRKDC	CA5A	4	13295	9.811208283342087e-07	8.12
PRKDC	C3	3	1786	2.054284683624721e-06	8.12
PRKDC	SHMT1	3	34	5.510953977485387e-07	8.12
PRKDC	EIF4EBP3	3	202	7.219685907510985e-07	8.12
PRKDC	IL36G	2	3	5.117478834618998e-06	8.12
PRKDC	RGMB	2	17	0.00016581798419477317	8.12
PRKDC	IL5	2	14	1.998921387705774e-05	8.12
PRKDC	GLI2	2	18	5.4590016031674744e-05	8.12
PRKDC	ALDH3A1	3	406	1.794698943017874e-06	8.12
PRKDC	TRAF4	2	2	1.6735944337754293e-05	8.12
PRKDC	OR4F4	3	1212	9.157559897045505e-07	8.12
PRKDC	ANO2	3	1212	9.157559897045505e-07	8.12
PRKDC	CCR4	2	4	4.418287016676258e-06	8.12
PRKDC	GPT2	3	40	3.6681306642791013e-07	8.12
PRKDC	FLT3	2	30	3.5094229784358824e-05	8.12
PRKDC	GCSH	3	34	7.098855970998124e-07	8.12
PRKDC	DUOX2	3	1565	7.905523840255666e-06	8.12
PRKDC	KCNQ3	3	3704	1.1138175127415446e-05	8.12
PRKDC	STUB1	2	19	8.462740601856583e-05	8.12
PRKDC	TYR	2	3	1.0246489119728555e-05	8.12
PRKDC	PDXK	3	7	1.0800527447550847e-06	8.12
PRKDC	CA2	3	2580	4.429545887634953e-06	8.12
PRKDC	CIR1	2	4	9.102744811112666e-05	8.12
PRKDC	SULT2A1	3	881	2.527178153225679e-06	8.12
PRKDC	NLRP7	2	1	3.361367135241245e-06	8.12
PRKDC	CHIA	3	32	6.025329829802663e-07	8.12
PRKDC	IDH3B	3	97	2.1901031409466376e-06	8.12
PRKDC	SIRT1	2	50	0.0001311343635182201	8.12
PRKDC	CHRD	2	17	0.00016581798419477317	8.12
PRKDC	BIVM-ERCC5	2	4	0.00015589995324446758	8.12
PRKDC	LAMA1	2	21	2.9982067463731936e-05	8.12
PRKDC	FZD1	2	24	3.0089340204509233e-05	8.12
PRKDC	FXN	3	7	2.549440745662108e-07	8.12
PRKDC	RPLP2	3	28	7.271490738540369e-08	8.12
PRKDC	SCN3A	3	600	2.7663543052077107e-06	8.12
PRKDC	CCL3L3	2	4	3.931607453284272e-06	8.12
PRKDC	IL16	2	3	5.117478834618998e-06	8.12
PRKDC	ELOVL7	3	31	9.990564144146325e-07	8.12
PRKDC	CLDN7	2	3	6.911071494315986e-06	8.12
PRKDC	RABEP1	2	3	6.2833217729429554e-06	8.12
PRKDC	IBSP	2	21	2.9982067463731936e-05	8.12
PRKDC	PIGU	4	39	1.9210974625559892e-08	8.12
PRKDC	PHOSPHO2	3	7	1.0800527447550847e-06	8.12
PRKDC	WNT9A	2	24	3.0089340204509233e-05	8.12
PRKDC	GEMIN6	3	202	7.219685907510985e-07	8.12
PRKDC	PLA2G2D	2	1	1.6242784143144408e-06	8.12
PRKDC	IL20RA	2	10	1.3848659008325405e-05	8.12
PRKDC	RCL1	3	60	4.248525927830436e-07	8.12
PRKDC	GTF2H1	2	4	8.994228071796206e-05	8.12
PRKDC	C7	3	153	1.9458038435476154e-06	8.12
PRKDC	VAV1	2	7	3.776312028001603e-06	8.12
PRKDC	RPL23	3	28	7.271490738540369e-08	8.12
PRKDC	SUV39H1	3	32	1.1034845203987997e-06	8.12
PRKDC	GOSR1	4	16335	7.240598186435046e-07	8.12
PRKDC	CPA2	3	1608	4.2745289097416706e-06	8.12
PRKDC	TNNC2	3	3439	8.603808990429781e-06	8.12
PRKDC	CD38	2	3	1.1093731894410602e-05	8.12
PRKDC	DIAPH1	2	4	5.53127507196935e-06	8.12
PRKDC	TNFRSF21	2	3	5.117478834618998e-06	8.12
PRKDC	SVIP	2	3	1.2398742241998359e-05	8.12
PRKDC	STX1B	3	85	5.064960780441282e-07	8.12
PRKDC	GRM1	2	26	2.4045860844370293e-05	8.12
PRKDC	RRM2B	2	23	7.468120697594314e-05	8.12
PRKDC	RNF185	2	3	1.2398742241998359e-05	8.12
PRKDC	RELT	2	3	5.117478834618998e-06	8.12
PRKDC	GPX3	3	1720	4.071690384517664e-06	8.12
PRKDC	ACTR3	2	3	1.4111828620130248e-05	8.12
PRKDC	MRPL9	3	28	7.271490738540369e-08	8.12
PRKDC	HMGCLL1	3	80	6.866491013006726e-07	8.12
PRKDC	TRPV1	3	4390	4.221098861188034e-06	8.12
PRKDC	PSMD3	3	28	1.0639409682017525e-06	8.12
PRKDC	TRPA1	3	3714	1.5085270552591626e-05	8.12
PRKDC	CS	3	123	1.8088449764019938e-06	8.12
PRKDC	IL17D	2	15	1.7582687669120807e-05	8.12
PRKDC	WDR36	3	60	4.248525927830436e-07	8.12
PRKDC	PPCDC	4	2036	2.1630628319243003e-07	8.12
PRKDC	CBSL	3	36	4.986466538400596e-07	8.12
PRKDC	EDNRA	2	2	1.5060422414727889e-06	8.12
PRKDC	BCL2	2	39	2.4051293463652434e-05	8.12
PRKDC	AMPH	2	3	4.8760162654383815e-06	8.12
PRKDC	GNA13	2	5	3.885886895682247e-06	8.12
PRKDC	HCST	3	3391	1.2954479479384307e-05	8.12
PRKDC	ID3	2	18	7.685593543063782e-05	8.12
PRKDC	ABCB6	3	10	1.814100768325171e-07	8.12
PRKDC	ANTXR1	2	1	3.361367135241245e-06	8.12
PRKDC	ERC1	2	2	1.6500391361760813e-05	8.12
PRKDC	SHC3	2	10	6.32469053140023e-06	8.12
PRKDC	CDC16	1	1	0.002890173410404624	8.12
PRKDC	GEMIN4	3	202	7.219685907510985e-07	8.12
PRKDC	FBXL3	2	3	7.262120456027609e-05	8.12
PRKDC	CCR9	2	4	4.165524601534595e-06	8.12
PRKDC	CASQ2	3	3754	6.997178413896355e-06	8.12
PRKDC	ACOT7	3	31	9.990564144146325e-07	8.12
PRKDC	AP3B1	3	89	7.67390745164879e-07	8.12
PRKDC	ZFP36L1	2	43	0.0003111996344823499	8.12
PRKDC	GBE1	3	211	3.839248295243946e-06	8.12
PRKDC	RUVBL1	2	13	4.297793146627028e-05	8.12
PRKDC	FGF23	2	29	2.427227892635899e-05	8.12
PRKDC	HLA-DPB1	2	5	1.3831954011436349e-05	8.12
PRKDC	AASS	3	32	1.1034845203987997e-06	8.12
PRKDC	GGT5	3	155	1.1860063159925385e-06	8.12
PRKDC	ATP5F1E	3	26	1.5559707400330511e-07	8.12
PRKDC	PDE6C	3	622	2.67779324866611e-06	8.12
PRKDC	LNPEP	3	6	1.2485523137447022e-06	8.12
PRKDC	CHST14	0	0	0	8.12
PRKDC	FBXO6	2	3	1.2398742241998359e-05	8.12
PRKDC	CAMKK2	2	5	1.2455858508157504e-05	8.12
PRKDC	SLC7A5	2	2	9.668404363894354e-06	8.12
PRKDC	WNT8A	2	24	3.0089340204509233e-05	8.12
PRKDC	BAIAP2	2	4	8.27347583603025e-06	8.12
PRKDC	POP4	3	262	6.658538529831284e-07	8.12
PRKDC	OR51A2	3	1212	9.157559897045505e-07	8.12
PRKDC	GUCY1A1	2	3	3.652250273573022e-06	8.12
PRKDC	SIK2	2	2	9.673425166382914e-06	8.12
PRKDC	OR2M7	3	1212	9.157559897045505e-07	8.12
PRKDC	PLA2G2C	2	1	1.6242784143144408e-06	8.12
PRKDC	SNW1	2	4	2.3446463907411413e-05	8.12
PRKDC	P2RY4	3	1243	1.229974256121231e-06	8.12
PRKDC	ARFGEF2	2	3	6.2833217729429554e-06	8.12
PRKDC	PTTG2	1	1	0.004784688995215311	8.12
PRKDC	HKDC1	2	6	9.826220610077919e-06	8.12
PRKDC	C1D	3	50	7.018458454397713e-07	8.12
PRKDC	FGA	3	3585	7.267052332091884e-06	8.12
PRKDC	GSPT1	3	989	6.694206660119378e-06	8.12
PRKDC	ASIC5	3	3714	1.5085270552591626e-05	8.12
PRKDC	ECI2	3	88	9.59831022587826e-07	8.12
PRKDC	TCIRG1	3	1117	1.90991843082238e-06	8.12
PRKDC	CNTN2	3	703	4.317180558209744e-06	8.12
PRKDC	MC1R	2	3	3.182438973656869e-06	8.12
PRKDC	MRPS18C	3	28	7.271490738540369e-08	8.12
PRKDC	THEM5	3	21	7.27906878531246e-07	8.12
PRKDC	NME7	3	622	1.6905260408245603e-06	8.12
PRKDC	RPS8	3	28	7.271490738540369e-08	8.12
PRKDC	RFC2	2	11	0.0004977642627831796	8.12
PRKDC	RPL22	3	28	7.271490738540369e-08	8.12
PRKDC	MT1H	3	170	2.32681970335654e-06	8.12
PRKDC	IFNA21	2	26	1.6320211714207292e-05	8.12
PRKDC	GNAS	2	6	2.7648221168709607e-06	8.12
PRKDC	ACAA1	3	429	1.401378285437357e-06	8.12
PRKDC	FLAD1	3	6	2.3365776813958935e-06	8.12
PRKDC	HTR2B	2	1	1.94183806623998e-06	8.12
PRKDC	KCNN1	3	1777	7.6135579987723515e-06	8.12
PRKDC	CUL2	2	23	0.00011127843918968047	8.12
PRKDC	EIF2B3	3	202	7.219685907510985e-07	8.12
PRKDC	OR4K2	3	1212	9.157559897045505e-07	8.12
PRKDC	OR2S2	3	1212	9.157559897045505e-07	8.12
PRKDC	GATA3	2	4	1.7643161237183446e-05	8.12
PRKDC	MRPS2	3	28	7.271490738540369e-08	8.12
PRKDC	SLC10A1	3	881	5.054356306451358e-06	8.12
PRKDC	P2RY6	3	683	8.595698791264664e-07	8.12
PRKDC	MSH2	2	1	6.417661404184315e-05	8.12
PRKDC	CREB3L4	2	25	1.6079129030160633e-05	8.12
PRKDC	PRLH	3	683	8.595698791264664e-07	8.12
PRKDC	NUP93	3	202	7.219685907510985e-07	8.12
PRKDC	CER1	2	13	4.297793146627028e-05	8.12
PRKDC	RNVU1-7	3	318	7.220189563318326e-07	8.12
PRKDC	TICAM1	2	3	5.675831647677788e-06	8.12
PRKDC	STX18	3	993	3.930069896405671e-06	8.12
PRKDC	GABARAPL1	2	27	4.933741076983643e-05	8.12
PRKDC	PPP5D1	2	9	1.950193762815711e-05	8.12
PRKDC	PCYOX1	3	3	3.536920549191597e-07	8.12
PRKDC	EPHB1	2	2	6.883342520474489e-06	8.12
PRKDC	CDK4	1	1	0.0012738853503184713	8.12
PRKDC	CRLF2	2	10	1.3848659008325405e-05	8.12
PRKDC	OR8J1	3	1212	9.157559897045505e-07	8.12
PRKDC	MT-TE	4	14	1.532115832729632e-09	8.12
PRKDC	NPY4R	3	683	8.595698791264664e-07	8.12
PRKDC	IL22RA2	2	7	2.143699625032877e-05	8.12
PRKDC	SUCLA2	3	141	1.854431800268838e-06	8.12
PRKDC	MAP4K1	2	9	1.950193762815711e-05	8.12
PRKDC	FBN1	2	17	0.00016581798419477317	8.12
PRKDC	ABHD14A-ACY1	3	40	8.301558871789544e-07	8.12
PRKDC	RPS6KA5	2	12	1.3492776143248855e-05	8.12
PRKDC	HTR1D	2	2	1.6683851033230895e-06	8.12
PRKDC	CTNNBL1	3	116	5.984462880709621e-07	8.12
PRKDC	RBL2	1	1	0.0016891891891891893	8.12
PRKDC	PSMD1	3	28	1.0639409682017525e-06	8.12
PRKDC	CHRND	3	683	8.595698791264664e-07	8.12
PRKDC	FRAT1	2	13	4.297793146627028e-05	8.12
PRKDC	EPHA8	2	2	6.883342520474489e-06	8.12
PRKDC	OR10A7	3	1212	9.157559897045505e-07	8.12
PRKDC	RPS20	3	28	7.271490738540369e-08	8.12
PRKDC	LPCAT1	3	115	4.184065548374292e-07	8.12
PRKDC	THEM4	2	21	3.63953439265623e-05	8.12
PRKDC	IFNK	2	10	1.218265491709829e-05	8.12
PRKDC	DLL3	2	4	3.598759576486402e-05	8.12
PRKDC	NPR2	2	2	2.3120333592429634e-06	8.12
PRKDC	DCTPP1	3	46	1.3829853143693172e-06	8.12
PRKDC	MTHFD1L	4	1428	2.188300149280546e-07	8.12
PRKDC	COL4A1	2	21	2.5586200429575747e-05	8.12
PRKDC	HSD17B8	3	27	5.83144946988312e-07	8.12
PRKDC	PMAIP1	2	23	0.00012257458971051533	8.12
PRKDC	KL	2	1	2.626022835894581e-06	8.12
